trial_number,notes_vector
1,"[53, 60, 60, 60]"
2,"[60, 60, 60, 59]"
3,"[60, 60, 59, 59]"
4,"[60, 59, 59, 60]"
5,"[60, 59, 60, 59]"
6,"[59, 59, 59, 60]"
7,"[59, 59, 60, 59]"
8,"[60, 60, 59, 60]"
9,"[59, 59, 60, 60, 57, 60, 60, 59, 57]"
10,"[60, 60, 57, 57]"
11,"[60, 60, 57, 60]"
12,"[60, 59, 59, 57]"
13,"[59, 60, 57, 60]"
14,"[57, 57, 60, 59]"
15,"[60, 60, 57, 60]"
16,"[60, 60, 57, 55]"
17,"[60, 59, 57, 57]"
18,"[57, 59, 59, 57]"
19,"[57, 57, 57, 55]"
20,"[57, 57, 55, 57]"
21,"[57, 57, 55, 55]"
22,"[57, 55, 55, 55]"
23,"[55, 57, 55, 57]"
24,"[57, 55, 55, 57]"
25,"[57, 57, 55, 57]"
26,"[57, 57, 55, 55]"
27,"[55, 57, 57, 55]"
28,"[57, 55, 57, 55]"
29,"[60, 57, 55, 55]"
30,"[60, 57, 55, 55]"
31,"[57, 57, 55, 57]"
32,"[57, 55, 57, 55, 59]"
33,"[59, 55, 57, 55]"
34,"[57, 57, 55, 55]"
35,"[57, 57, 55, 57]"
36,"[59, 57, 55, 59]"
37,"[57, 57, 55, 57]"
38,"[57, 55, 55, 57]"
39,"[57, 59, 55, 57]"
40,"[60, 57, 59, 55, 55, 57, 59, 60, 60, 59, 57, 57, 55, 57, 59, 59, 57, 60, 59, 57, 55, 55, 60, 57, 55, 55, 53, 53]"
41,"[53, 53, 55, 53]"
42,"[53, 55, 55, 55]"
43,"[55, 55, 53, 55]"
44,"[53, 53, 55, 53]"
45,"[53, 53, 55, 55]"
46,"[53, 55, 55, 53]"
47,"[53, 55, 55, 55]"
48,"[53, 53, 53, 55]"
49,"[55, 55, 55, 53]"
50,"[57, 55, 53, 53]"
51,"[57, 55, 55, 57]"
52,"[57, 55, 53, 57]"
53,"[57, 55, 57, 55]"
54,"[55, 53, 55, 59, 57]"
55,"[53, 55, 53, 57]"
56,"[53, 53, 55, 57]"
57,"[55, 55, 53, 55]"
58,"[55, 53, 55, 57]"
59,"[55, 55, 53, 57]"
60,"[60, 59, 57, 55]"
61,"[60, 57, 57, 55]"
62,"[59, 57, 55, 57]"
63,"[60, 60, 59, 57]"
64,"[55, 53, 59, 57]"
65,"[57, 57, 59, 55]"
66,"[55, 57, 59, 60]"
67,"[57, 55, 57, 60]"
68,"[60, 59, 59, 57]"
69,"[57, 55, 59, 57]"
70,"[55, 53, 57, 59]"
71,"[57, 56, 59, 60, 55]"
72,"[57, 55, 53, 53]"
73,"[57, 55, 53, 55]"
74,"[60, 60, 57, 55]"
75,"[60, 55, 59, 57]"
76,"[59, 57, 55, 53]"
77,"[53, 55, 57, 60]"
78,"[55, 55, 60, 55]"
79,"[53, 53, 57, 60]"
80,"[53, 57, 57, 57]"
81,"[59, 57, 53, 53]"
82,"[60, 59, 53, 55]"
83,"[60, 60, 60, 60]"
84,"[60, 60, 60, 59]"
85,"[60, 60, 59, 59]"
86,"[60, 59, 59, 60]"
87,"[60, 59, 60, 59]"
88,"[59, 59, 60, 59]"
89,"[59, 59, 60, 59]"
90,"[60, 60, 59, 60]"
91,"[57, 59, 60, 59, 57, 55, 53, 55, 53, 57, 59, 60, 60, 59, 57, 56]"
92,"[60, 60, 57, 57, 56]"
93,"[60, 60, 57, 56, 60]"
94,"[60, 60, 59, 57, 56]"
95,"[57, 56, 60, 57, 56, 60]"
96,"[57, 56, 56, 57, 60, 59]"
97,"[59, 59, 57, 56, 60]"
98,"[60, 60, 59, 57]"
99,"[60, 59, 57, 57]"
100,"[60, 57, 56, 59, 57]"
101,"[57, 57, 57, 59]"
102,"[57, 57, 55, 57]"
103,"[55, 55, 57, 57]"
104,"[57, 55, 55, 55]"
105,"[55, 57, 55, 57]"
106,"[57, 55, 55, 57]"
107,"[57, 57, 55, 57]"
108,"[57, 57, 55, 55]"
109,"[55, 57, 57, 55]"
110,"[57, 55, 57, 55]"
111,"[60, 57, 55, 55]"
112,"[55, 57, 59, 55]"
113,"[57, 57, 55, 57]"
114,"[57, 59, 55, 55]"
115,"[55, 57, 59, 57]"
