trial_number,notes_vector,subject,target,correct,score,block,type
1,"[60, 60, 60, 60]",11,"[60, 60, 60, 60]",1,4.0,1,1
2,"[53, 53, 53, 55]",11,"[60, 60, 60, 59]",0,1.4999999999999998,1,2
3,"[60, 60, 53]",11,"[60, 60, 59, 59]",0,2.4,1,2
4,"[53, 53, 53, 60, 53, 53, 59]",11,"[60, 59, 59, 60]",0,2.0999999999999996,1,2
5,"[60, 53, 60, 53]",11,"[60, 59, 60, 59]",0,2.8,1,2
6,"[53, 55, 55, 53]",11,"[59, 59, 59, 60]",0,1.9,1,2
7,"[60, 53, 53, 60, 53]",11,"[59, 59, 60, 59]",0,2.4999999999999996,1,2
8,"[53, 60, 60, 55, 53]",11,"[60, 60, 59, 60]",0,2.7,1,2
9,"[53, 53, 60, 55]",11,"[60, 60, 59, 57]",0,2.3,1,3
10,"[60, 60, 59, 55]",11,"[60, 60, 57, 57]",0,3.6,1,2
11,"[60, 60, 57, 53]",11,"[60, 60, 57, 60]",0,3.3,1,2
12,"[60, 55, 53, 57]",11,"[60, 59, 59, 57]",0,3.0,1,3
13,"[55, 57, 59, 53]",11,"[57, 60, 57, 60]",0,2.5999999999999996,1,2
14,"[57, 57, 59, 60]",11,"[57, 57, 60, 59]",0,3.8,1,3
15,"[59, 59, 60, 57]",11,"[59, 59, 57, 60]",0,3.4,1,3
16,"[60, 60, 57, 53]",11,"[60, 60, 57, 59]",0,3.4,1,3
17,"[60, 59, 55, 55]",11,"[60, 59, 57, 57]",0,3.6,1,3
18,"[55, 57, 57, 53]",11,"[57, 59, 59, 57]",0,3.0000000000000004,1,2
19,[],11,"[57, 57, 57, 55]",0,0.0,1,2
20,"[59, 59, 55, 60]",11,"[57, 57, 55, 57]",0,3.3,1,2
21,"[60, 60, 59, 53]",11,"[55, 55, 57, 57]",0,2.4,1,2
22,"[55, 59, 53, 60]",11,"[57, 55, 55, 55]",0,2.7,1,2
23,"[53, 59, 53]",11,"[55, 57, 55, 57]",0,2.4000000000000004,1,2
24,"[57, 57, 57, 55, 59, 55]",11,"[57, 55, 55, 57]",0,3.4000000000000004,1,2
25,"[57, 57, 57, 53]",11,"[57, 57, 57, 55]",0,3.8,1,2
26,"[57, 57, 55, 55]",11,"[57, 57, 55, 55]",1,4.0,1,2
27,"[55, 57, 57, 55]",11,"[55, 57, 57, 55]",1,4.0,1,2
28,"[55, 57, 55, 57]",11,"[57, 55, 57, 55]",0,3.2,1,2
29,"[53, 57, 55, 57]",11,"[59, 57, 55, 55]",0,3.2,1,3
30,"[57, 59, 55, 59]",11,"[55, 57, 59, 55]",0,2.8000000000000003,1,3
31,"[57, 57, 59, 55]",11,"[59, 59, 55, 57]",0,3.0,1,3
32,"[55, 59, 59, 57]",11,"[57, 59, 55, 55]",0,3.2,1,3
33,"[57, 59, 59, 55]",11,"[55, 59, 57, 59]",0,3.2,1,3
34,"[55, 59, 59, 55]",11,"[59, 57, 59, 55]",0,3.4,1,3
35,"[59, 59, 55, 59]",11,"[57, 57, 55, 59]",0,3.6,1,3
36,"[59, 55, 57, 53]",11,"[59, 55, 59, 57]",0,3.4,1,3
37,"[55, 57, 57, 60, 55]",11,"[57, 57, 55, 59]",0,3.5,1,3
38,"[55, 59, 55, 55]",11,"[59, 57, 55, 59]",0,3.0,1,3
39,"[57, 59, 57, 60]",11,"[57, 59, 57, 55]",0,3.5,1,3
40,"[55, 55, 57, 55]",11,"[55, 55, 53, 53]",0,3.4,1,2
41,"[55, 53, 55, 53]",11,"[53, 55, 53, 55]",0,3.2,1,2
42,"[55, 53, 55, 55]",11,"[55, 53, 55, 55]",1,4.0,1,2
43,"[55, 55, 53, 55]",11,"[55, 55, 53, 55]",1,4.0,1,2
44,"[55, 53, 53, 55, 53]",11,"[53, 53, 55, 53]",0,3.4000000000000004,1,2
45,"[53, 53, 55, 55]",11,"[53, 53, 55, 55]",1,4.0,1,2
46,"[53, 55, 55, 53]",11,"[53, 55, 55, 53]",1,4.0,1,2
47,"[53, 55, 55, 55]",11,"[53, 55, 55, 55]",1,4.0,1,2
48,"[53, 53, 53, 55]",11,"[53, 53, 53, 55]",1,4.0,1,2
49,"[55, 55, 55, 53]",11,"[55, 55, 55, 53]",1,4.0,1,2
50,"[60, 55, 55, 60]",11,"[57, 55, 53, 53]",0,2.8,1,3
51,"[53, 57, 55, 57]",11,"[57, 55, 53, 55]",0,3.0,1,3
52,"[57, 55]",11,"[57, 55, 53, 57]",0,2.0,1,3
53,"[55, 57, 57, 57, 55, 57]",11,"[53, 57, 57, 55]",0,3.6,1,3
54,"[57, 59, 57, 59]",11,"[53, 55, 53, 57]",0,2.5999999999999996,1,3
55,"[57, 55, 53, 55]",11,"[53, 55, 57, 55]",0,3.2,1,3
56,"[53, 53, 57, 55]",11,"[53, 53, 55, 57]",0,3.6,1,3
57,"[55, 55, 53, 55]",11,"[55, 55, 53, 55]",1,4.0,1,2
58,"[55, 53, 55, 53]",11,"[55, 53, 55, 57]",0,3.6,1,3
59,"[55, 55, 57, 53]",11,"[55, 55, 53, 57]",0,3.2,1,3
60,"[60, 59, 57, 55]",11,"[60, 59, 57, 55]",1,4.0,1,4
61,"[60, 57, 57, 53]",11,"[60, 57, 57, 55]",0,3.8,1,3
62,"[59, 57, 55, 57]",11,"[59, 57, 55, 60]",0,3.7,1,4
63,"[59, 57, 57, 53]",11,"[60, 60, 59, 55]",0,3.2,1,3
64,"[60, 53, 57, 53]",11,"[59, 57, 60, 55]",0,3.0,1,4
65,"[57, 57, 53, 57]",11,"[59, 59, 57, 60]",0,2.9000000000000004,1,3
66,"[57, 55, 53, 59]",11,"[55, 57, 59, 60]",0,2.9,1,4
67,"[53, 57, 55, 59]",11,"[60, 57, 55, 60]",0,3.2,1,3
68,"[59, 55, 55, 57]",11,"[60, 59, 59, 57]",0,3.1,1,3
69,"[57, 55, 59, 53]",11,"[57, 55, 60, 59]",0,3.3,1,4
70,"[57, 53, 60, 55]",11,"[60, 55, 57, 55]",0,3.2,1,3
71,"[57, 60, 53, 59]",11,"[59, 57, 60, 55]",0,2.4,1,4
72,"[60, 53, 59, 55]",11,"[59, 57, 55, 53]",0,2.9000000000000004,1,4
73,"[59, 55, 59, 57]",11,"[59, 57, 53, 60]",0,2.9,1,4
74,"[59, 59, 53, 55]",11,"[60, 60, 57, 53]",0,3.2,1,3
75,"[57, 53, 55, 59]",11,"[60, 53, 57, 60]",0,3.4,1,3
76,"[60, 57, 55, 59]",11,"[60, 59, 55, 53]",0,3.2,1,4
77,"[55, 53, 59, 55]",11,"[53, 55, 57, 60]",0,2.9000000000000004,1,4
78,"[53, 59, 53, 57]",11,"[60, 53, 60, 53]",0,1.5999999999999996,1,2
79,"[59, 57, 55, 60]",11,"[53, 53, 59, 60]",0,2.5999999999999996,1,3
80,"[53, 59, 57, 55]",11,"[53, 55, 57, 59]",0,3.2,1,4
81,"[53, 55, 57, 59]",11,"[59, 55, 53, 57]",0,2.8,1,4
82,"[57, 59, 55, 60]",11,"[60, 59, 53, 55]",0,3.0,1,4
83,"[53, 60, 60, 60]",11,"[60, 60, 60, 60]",0,3.3,2,1
84,"[60, 60, 60, 60, 59]",11,"[60, 60, 60, 59]",0,3.9,2,2
85,"[60, 60, 57, 57]",11,"[60, 60, 59, 59]",0,3.6,2,2
86,"[60, 59, 57, 55]",11,"[60, 59, 59, 60]",0,3.3,2,2
87,"[60, 59, 60, 59]",11,"[60, 59, 60, 59]",1,4.0,2,2
88,"[59, 59, 59, 60]",11,"[59, 59, 59, 60]",1,4.0,2,2
89,"[59, 59, 60, 59]",11,"[59, 59, 60, 59]",1,4.0,2,2
90,"[60, 60, 59, 60]",11,"[60, 60, 59, 60]",1,4.0,2,2
91,"[60, 60, 57, 60]",11,"[60, 60, 59, 57]",0,3.5,2,3
92,"[60, 60, 57, 57]",11,"[60, 60, 57, 57]",1,4.0,2,2
93,"[60, 60, 57, 53]",11,"[60, 60, 57, 60]",0,3.3,2,2
94,"[60, 59, 59, 60]",11,"[60, 59, 59, 57]",0,3.7,2,3
95,"[59, 57, 59, 57, 60]",11,"[57, 60, 57, 60]",0,3.0,2,2
96,"[57, 57, 60, 59]",11,"[57, 57, 60, 59]",1,4.0,2,3
97,"[59, 59, 57, 60]",11,"[59, 59, 57, 60]",1,4.0,2,3
98,"[60, 60, 57, 60]",11,"[60, 60, 57, 59]",0,3.9,2,3
99,"[60, 59, 57, 59]",11,"[60, 59, 57, 57]",0,3.8,2,3
100,"[57, 59, 59, 57]",11,"[57, 59, 59, 57]",1,4.0,2,2
101,"[53, 53, 55]",11,"[57, 57, 57, 55]",0,2.0,2,2
102,"[57, 55, 55, 57, 55]",11,"[57, 57, 55, 57]",0,3.8,2,2
103,"[55, 55, 57, 57]",11,"[55, 55, 57, 57]",1,4.0,2,2
104,"[55, 57, 55, 55, 57]",11,"[57, 55, 55, 55]",0,3.6,2,2
105,"[55, 57, 55, 57]",11,"[55, 57, 55, 57]",1,4.0,2,2
106,"[57, 55, 55, 57]",11,"[57, 55, 55, 57]",1,4.0,2,2
107,"[57, 57, 57, 53]",11,"[57, 57, 57, 55]",0,3.8,2,2
108,"[57, 57, 55, 55]",11,"[57, 57, 55, 55]",1,4.0,2,2
109,"[55, 57, 57, 55]",11,"[55, 57, 57, 55]",1,4.0,2,2
110,"[55, 57, 55, 57, 55]",11,"[57, 55, 57, 55]",0,3.2,2,2
111,"[57, 53, 55, 59]",11,"[59, 57, 55, 55]",0,3.0,2,3
112,"[57, 59, 55, 57]",11,"[55, 57, 59, 55]",0,3.0,2,3
113,"[57, 57, 59, 55]",11,"[59, 59, 55, 57]",0,3.0,2,3
114,"[55, 57, 55, 59]",11,"[57, 59, 55, 55]",0,3.2,2,3
115,"[57, 59, 59, 57]",11,"[55, 59, 57, 59]",0,3.4000000000000004,2,3
116,"[57, 60, 59, 57]",11,"[59, 57, 59, 55]",0,3.3,2,3
117,"[57, 57, 60, 55]",11,"[57, 57, 55, 59]",0,3.1,2,3
118,"[57, 60, 59, 59]",11,"[59, 55, 59, 57]",0,3.1,2,3
119,"[57, 57, 59, 60]",11,"[57, 57, 55, 59]",0,3.5,2,3
120,"[57, 59, 57, 57, 59]",11,"[59, 57, 55, 59]",0,3.2,2,3
121,"[59, 57, 57, 59]",11,"[57, 59, 57, 55]",0,3.2,2,3
122,"[53, 53, 55, 57]",11,"[55, 55, 53, 53]",0,3.0000000000000004,2,2
123,"[55, 57, 55, 57]",11,"[53, 55, 53, 55]",0,3.2,2,2
124,"[53, 55, 57, 53]",11,"[55, 53, 55, 55]",0,3.2,2,2
125,"[53, 55, 55, 53, 55]",11,"[55, 55, 53, 55]",0,3.4000000000000004,2,2
126,"[55, 53, 53, 55, 53]",11,"[53, 53, 55, 53]",0,3.4000000000000004,2,2
127,"[55, 53, 53, 55, 53]",11,"[53, 53, 55, 55]",0,3.6,2,2
128,"[55, 53, 55, 53]",11,"[53, 55, 55, 53]",0,3.6,2,2
129,"[53, 55, 55, 55]",11,"[53, 55, 55, 55]",1,4.0,2,2
130,"[53, 53, 53, 55]",11,"[53, 53, 53, 55]",1,4.0,2,2
131,"[55, 55, 55, 53]",11,"[55, 55, 55, 53]",1,4.0,2,2
132,"[59, 57, 55, 53, 53]",11,"[57, 55, 53, 53]",0,3.4000000000000004,2,3
133,"[57, 53, 55, 55]",11,"[57, 55, 53, 55]",0,3.6,2,3
134,"[57, 55, 53, 55]",11,"[57, 55, 53, 57]",0,3.8,2,3
135,"[53, 59, 57, 57]",11,"[53, 57, 57, 55]",0,3.6,2,3
136,"[53, 57, 53, 57]",11,"[53, 55, 53, 57]",0,3.8,2,3
137,"[53, 60, 57, 55]",11,"[53, 55, 57, 55]",0,3.5,2,3
138,"[53, 53, 55, 57]",11,"[53, 53, 55, 57]",1,4.0,2,3
139,"[57, 57, 55, 53]",11,"[55, 55, 53, 55]",0,3.2,2,2
140,"[57, 53, 57, 55]",11,"[55, 53, 55, 57]",0,3.4000000000000004,2,3
141,"[57, 57, 53, 57]",11,"[55, 55, 53, 57]",0,3.6,2,3
142,"[60, 57, 55, 53]",11,"[60, 59, 57, 55]",0,3.4000000000000004,2,4
143,"[60, 59, 59, 57]",11,"[60, 57, 57, 55]",0,3.4000000000000004,2,3
144,"[57, 55, 59, 53]",11,"[59, 57, 55, 60]",0,2.5,2,4
145,"[57, 59, 59, 55, 60]",11,"[60, 60, 59, 55]",0,3.6,2,3
146,"[57, 53, 55, 57]",11,"[59, 57, 60, 55]",0,2.7,2,4
147,"[60, 59, 59, 57, 53]",11,"[59, 59, 57, 60]",0,3.4000000000000004,2,3
