trial_number,notes_vector
1,"[72, 72, 72, 72]"
2,"[72, 72, 71, 72]"
3,"[72, 71, 71, 71]"
4,"[71, 72, 71, 72]"
5,"[72, 71, 71, 72]"
6,"[71, 71, 72, 72]"
7,"[72, 71, 69, 69]"
8,"[72, 69, 72, 72]"
9,"[72, 71, 69, 72]"
10,"[69, 69, 71, 71]"
11,"[69, 71, 69, 72]"
12,"[72, 69, 69, 72]"
13,"[69, 71, 72, 71]"
14,"[71, 69, 67, 71]"
15,"[67, 67, 69, 71]"
16,"[71, 71, 67, 67]"
17,"[67, 67, 69, 67]"
18,"[71, 71, 69, 67]"
19,"[69, 71, 67, 71]"
20,"[71, 67, 69, 69]"
21,"[69, 69, 67, 67]"
22,"[67, 69, 69, 67]"
23,"[69, 67, 69, 67]"
24,"[69, 69, 67, 69]"
25,"[69, 67, 69, 69]"
26,"[67, 67, 67, 67]"
27,"[69, 69, 69, 67]"
28,"[67, 69, 69, 69]"
29,"[67, 65, 67, 65]"
30,"[67, 67, 65, 67]"
31,"[67, 65, 65, 65]"
32,"[65, 65, 67, 67]"
33,"[67, 67, 67, 67]"
34,"[69, 69, 67, 65]"
35,"[67, 67, 69, 69]"
36,"[67, 69, 65, 67]"
37,"[67, 65, 65, 67]"
38,"[69, 65, 67, 69]"
39,"[69, 69, 65, 65]"
40,"[65, 69, 65, 65]"
41,"[67, 65, 67, 69]"
42,"[67, 67, 67, 69]"
43,"[67, 65, 65, 65]"
44,"[72, 71, 69, 67]"
45,"[72, 71, 67, 69]"
46,"[72, 71, 72, 67]"
47,"[72, 67, 67, 67]"
48,"[72, 71, 69, 67]"
49,"[72, 69, 71, 72]"
50,"[67, 69, 71, 71]"
51,"[69, 69, 69, 67]"
52,"[67, 71, 67, 71]"
53,"[71, 69, 67, 71]"
54,"[72, 65, 65, 65]"
55,"[72, 65, 72, 72]"
56,"[72, 71, 72, 65]"
57,"[72, 65, 71, 65]"
58,"[72, 71, 69, 67]"
59,"[65, 65, 67, 65]"
60,"[65, 67, 65, 69]"
61,"[65, 65, 72, 72]"
62,"[65, 69, 72, 72]"
63,"[65, 65, 65, 72]"
64,"[72, 71, 69, 65]"
