trial_number,notes_vector
1,"[72, 72, 72, 72]"
2,"[72, 72, 71, 72]"
3,"[72, 69, 67, 65]"
4,"[69, 72, 71, 72]"
5,"[71, 67, 67, 71, 72]"
6,"[71, 71, 72, 72]"
7,"[71, 69, 67, 67]"
8,"[72, 71, 72, 72]"
9,"[72, 71, 69, 71]"
10,"[67, 71, 72, 72]"
11,"[69, 67, 69, 71]"
12,"[72, 71, 71, 72]"
13,"[67, 69, 71, 72]"
14,"[69, 67, 67, 65]"
15,"[67, 67, 69, 71]"
16,"[69, 71, 69, 69]"
17,"[69, 69, 71, 69]"
18,"[69, 69, 67, 65]"
19,"[71, 72, 71, 72]"
20,"[71, 69, 71, 71]"
21,"[67, 67, 65, 67]"
22,"[67, 69, 69, 67]"
23,"[69, 67, 69, 67]"
24,"[69, 69, 67, 69]"
25,"[69, 67, 69, 69]"
26,"[67, 67, 67, 67]"
27,"[69, 69, 69, 67]"
28,"[67, 69, 69, 69]"
29,"[67, 65, 67, 65]"
30,"[67, 67, 65, 67]"
31,"[67, 65, 65, 65]"
32,"[65, 65, 67, 67]"
33,"[67, 67, 67, 67]"
34,"[69, 69, 67, 65]"
35,"[69, 67, 69, 69]"
36,"[67, 69, 65, 67]"
37,"[67, 65, 65, 67]"
38,"[69, 65, 67, 69]"
39,"[69, 69, 65, 65]"
40,"[65, 69, 65, 65]"
41,"[67, 65, 67, 69]"
42,"[67, 67, 67, 69]"
43,"[67, 65, 65, 65]"
44,"[71, 71, 69, 69]"
45,"[71, 69, 71, 69]"
46,"[71, 69, 71, 67]"
47,"[71, 72, 67, 67, 67]"
48,"[71, 69, 67, 67]"
49,"[71, 69, 71, 72]"
50,"[67, 71, 71, 71]"
51,"[69, 69, 69, 67]"
52,"[67, 69, 67, 71]"
53,"[71, 69, 67, 71]"
54,"[69, 71, 69, 67, 67]"
55,"[72, 67, 72, 72]"
56,"[72, 71, 72, 65]"
57,"[72, 65, 71, 65]"
58,"[72, 71, 69, 67]"
59,"[65, 65, 71, 65]"
60,"[65, 71, 65, 72]"
61,"[65, 65, 72, 72]"
62,"[65, 69, 71, 72]"
63,"[65, 65, 65, 72]"
64,"[72, 71, 69, 65]"
65,"[72, 72, 72, 72]"
66,"[72, 72, 71, 72]"
67,"[72, 69, 71, 71]"
68,"[71, 69, 71, 72]"
69,"[71, 71, 71, 72]"
70,"[71, 71, 72, 72]"
71,"[72, 71, 69, 69]"
72,"[72, 67, 72, 72]"
73,"[72, 71, 69, 71]"
74,"[69, 69, 71, 71]"
75,"[69, 71, 69, 72]"
76,"[71, 71, 71, 72]"
77,"[69, 71, 72, 71]"
78,"[71, 69, 67, 71]"
79,"[67, 67, 69, 71]"
80,"[71, 71, 67, 67]"
81,"[67, 67, 71, 67]"
82,"[72, 71, 69, 67]"
83,"[69, 71, 67, 71]"
84,"[69, 67, 69, 71]"
85,"[69, 71, 69, 69]"
86,"[69, 71, 67, 67]"
87,"[69, 67, 69, 67]"
88,"[69, 69, 67, 69]"
89,"[69, 67, 69, 69]"
90,"[67, 67, 67, 67]"
91,"[69, 69, 69, 67]"
92,"[67, 69, 69, 69]"
93,"[67, 65, 67, 65]"
94,"[67, 67, 65, 67]"
95,"[67, 65, 65, 65]"
96,"[65, 65, 67, 67]"
97,"[67, 67, 67, 67]"
98,"[69, 69, 67, 65]"
99,"[67, 67, 69, 69]"
100,"[67, 69, 65, 67]"
101,"[67, 65, 65, 67]"
102,"[67, 65, 67, 69]"
103,"[69, 69, 65, 65]"
104,"[65, 69, 65, 65]"
105,"[67, 65, 67, 69]"
106,"[67, 67, 67, 69]"
107,"[69, 65, 65, 65]"
108,"[72, 71, 69, 67]"
109,"[72, 71, 67, 69]"
110,"[72, 71, 72, 67]"
111,"[71, 69, 71, 71]"
112,"[72, 71, 69, 67]"
113,"[72, 67, 71, 72]"
114,"[67, 69, 71, 71]"
115,"[71, 69, 69, 67]"
116,"[67, 69, 67, 71]"
117,"[71, 69, 67, 71]"
118,"[72, 65, 65, 65]"
119,"[72, 65, 72, 72]"
120,"[72, 71, 72, 65]"
121,"[72, 65, 72, 71]"
122,"[72, 71, 69, 67]"
123,"[65, 65, 71, 65]"
124,"[65, 69, 67, 71]"
125,"[65, 65, 72, 72]"
126,"[65, 71, 71, 71]"
127,"[65, 65, 65, 72]"
128,"[72, 71, 69, 65]"
129,"[72, 72, 72, 72]"
130,"[72, 72, 71, 72]"
131,"[72, 71, 71, 69]"
132,"[71, 69, 71, 72]"
133,"[72, 71, 71, 72]"
134,"[71, 71, 72, 72]"
135,"[72, 71, 69, 69]"
136,"[72, 67, 72, 72]"
137,"[72, 71, 69, 72]"
138,"[69, 69, 71, 71]"
139,"[71, 67, 69, 71]"
140,"[71, 67, 67, 71]"
141,"[69, 71, 72, 71]"
142,"[71, 69, 67, 71]"
143,"[69, 69, 71, 71]"
144,"[71, 71, 69, 69]"
145,"[69, 69, 71, 69]"
146,"[72, 71, 69, 67]"
147,"[69, 71, 67, 69]"
148,"[69, 67, 69, 69]"
149,"[69, 69, 67, 67]"
150,"[67, 69, 69, 67]"
151,"[71, 67, 69, 67]"
152,"[69, 69, 67, 69]"
153,"[69, 67, 69, 69]"
154,"[67, 67, 67, 67]"
155,"[69, 69, 69, 67]"
156,"[67, 69, 69, 69]"
157,"[67, 65, 67, 65]"
158,"[67, 67, 65, 67]"
159,"[67, 65, 65, 65]"
160,"[65, 65, 67, 67]"
161,"[67, 67, 67, 67]"
162,"[69, 69, 67, 65]"
163,"[67, 67, 69, 69]"
164,"[67, 69, 65, 67]"
165,"[69, 65, 65, 67]"
166,"[67, 65, 67, 69]"
167,"[69, 69, 65, 65]"
168,"[65, 69, 65, 65]"
169,"[67, 65, 69, 71]"
170,"[67, 67, 67, 69]"
171,"[67, 65, 65, 65]"
172,"[72, 71, 69, 67]"
173,"[72, 71, 69, 71]"
174,"[72, 71, 72, 69]"
175,"[72, 67, 67, 67]"
176,"[72, 71, 69, 67]"
177,"[72, 67, 69, 71]"
178,"[67, 69, 71, 71]"
179,"[69, 69, 69, 67]"
180,"[69, 65, 67, 69]"
181,"[71, 69, 67, 71]"
182,"[72, 65, 65, 65]"
183,"[72, 65, 72, 72]"
184,"[72, 69, 65, 71]"
185,"[72, 65, 71, 65]"
186,"[72, 71, 69, 67]"
187,"[65, 65, 71, 65]"
188,"[65, 72, 65, 69]"
189,"[65, 65, 72, 72]"
190,"[65, 71, 72, 72]"
191,"[65, 65, 65, 72]"
192,"[72, 71, 69, 65]"
193,"[72, 72, 72, 72]"
194,"[72, 72, 69, 72]"
195,"[72, 69, 71, 71]"
196,"[69, 71, 71, 72]"
197,"[72, 71, 71, 72]"
198,"[71, 71, 72, 72]"
199,"[72, 71, 69, 69]"
200,"[72, 69, 71, 72]"
201,"[72, 71, 69, 71]"
202,"[69, 69, 71, 71]"
203,"[69, 71, 69, 72]"
204,"[72, 69, 69, 72]"
205,"[69, 71, 72, 71]"
206,"[72, 69, 67, 71]"
207,"[67, 67, 69, 71]"
208,"[69, 71, 69, 69]"
209,"[71, 71, 69, 69]"
210,"[71, 71, 69, 67]"
211,"[67, 69, 67, 71]"
212,"[71, 67, 71, 69]"
213,"[69, 69, 67, 67]"
214,"[67, 69, 69, 67]"
215,"[69, 67, 69, 67]"
216,"[69, 69, 67, 69]"
217,"[69, 67, 69, 69]"
218,"[69, 67, 67, 67]"
219,"[69, 69, 69, 67]"
220,"[67, 69, 69, 69]"
221,"[67, 65, 67, 65]"
222,"[67, 67, 65, 67]"
223,"[67, 65, 65, 65]"
224,"[65, 65, 67, 67]"
225,"[67, 67, 67, 67]"
226,"[69, 69, 67, 65]"
227,"[67, 67, 69, 69]"
228,"[67, 69, 65, 69]"
229,"[67, 65, 65, 67]"
230,"[69, 65, 67, 69]"
231,"[69, 69, 65, 65]"
232,"[65, 69, 65, 65]"
233,"[69, 65, 69, 71]"
234,"[69, 67, 67, 69]"
235,"[67, 65, 65, 65]"
236,"[71, 71, 69, 67]"
237,"[72, 71, 69, 71]"
238,"[72, 71, 72, 69]"
239,"[72, 69, 67, 67]"
240,"[72, 71, 67, 71]"
241,"[72, 67, 69, 71]"
242,"[67, 69, 71, 71]"
243,"[69, 69, 69, 67]"
244,"[67, 69, 67, 71]"
245,"[71, 69, 67, 71]"
246,"[72, 65, 65, 65]"
247,"[72, 65, 72, 72]"
248,"[72, 71, 72, 65]"
249,"[72, 65, 71, 65]"
250,"[72, 71, 69, 67]"
251,"[65, 65, 69, 65]"
252,"[65, 69, 65, 69]"
253,"[65, 65, 69, 71]"
254,"[65, 71, 72, 72]"
255,"[65, 65, 65, 72]"
256,"[72, 71, 69, 65]"
257,"[72, 72, 72, 72]"
258,"[72, 72, 69, 72]"
259,"[72, 71, 71, 71]"
260,"[69, 71, 71, 72]"
261,"[72, 71, 71, 72]"
262,"[71, 71, 72, 72]"
263,"[71, 71, 67, 67]"
264,"[72, 67, 72, 72]"
265,"[72, 69, 69, 72]"
266,"[69, 69, 71, 71]"
267,"[69, 71, 69, 72]"
268,"[72, 69, 69, 72]"
269,"[69, 72, 71, 72]"
270,"[72, 71, 69, 71]"
271,"[69, 69, 71, 72]"
272,"[69, 71, 69, 69]"
273,"[69, 67, 69, 67]"
274,"[71, 71, 69, 67]"
275,"[69, 71, 67, 71]"
276,"[71, 67, 69, 69]"
277,"[69, 69, 67, 67]"
278,"[67, 69, 69, 67]"
279,"[69, 67, 69, 67]"
280,"[69, 69, 67, 69]"
281,"[69, 67, 69, 69]"
282,"[67, 67, 67, 67]"
283,"[69, 69, 69, 67]"
284,"[67, 69, 69, 69]"
285,"[67, 65, 67, 65]"
286,"[67, 67, 65, 67]"
287,"[67, 65, 65, 65]"
288,"[65, 65, 67, 69]"
289,"[69, 67, 67, 67]"
290,"[69, 69, 67, 65]"
291,"[67, 67, 69, 69]"
292,"[67, 69, 65, 69]"
293,"[69, 65, 65, 69]"
294,"[69, 65, 67, 69]"
295,"[69, 69, 65, 65]"
296,"[65, 69, 65, 65]"
297,"[69, 65, 69, 71]"
298,"[67, 67, 67, 69]"
299,"[69, 67, 65, 65, 65]"
300,"[72, 71, 69, 67]"
301,"[72, 71, 69, 69]"
302,"[72, 71, 72, 67]"
303,"[72, 67, 67, 67]"
304,"[72, 71, 67, 67]"
305,"[72, 67, 69, 71]"
306,"[67, 71, 71, 71]"
307,"[69, 69, 69, 67]"
308,"[67, 69, 67, 71]"
309,"[71, 69, 67, 71]"
310,"[72, 65, 65, 65]"
311,"[72, 65, 72, 72]"
312,"[72, 71, 72, 65]"
313,"[72, 65, 71, 65]"
314,"[72, 71, 69, 67]"
315,"[65, 65, 71, 65]"
316,"[65, 71, 65, 72]"
317,"[65, 65, 72, 72]"
318,"[65, 67, 71, 71]"
319,"[65, 65, 65, 72]"
320,"[72, 71, 69, 65]"
