trial_number,notes_vector
1,"[71, 67, 69, 65, 72]"
2,"[72, 72, 72, 72, 71, 72]"
3,"[69, 72, 72, 71, 67, 69]"
4,"[69, 69, 65, 72, 72, 71, 72]"
5,"[72, 72, 71, 69, 69]"
6,"[72, 72, 71, 71]"
7,"[72, 71, 69, 69]"
8,"[69, 71, 72, 71, 71, 71]"
9,"[72, 71, 69, 67, 69]"
10,"[72, 72, 69, 69]"
11,"[69, 69, 67, 71, 72]"
12,"[69, 72, 72, 71, 69, 69]"
13,"[71, 69, 71]"
14,"[71, 72, 72, 71, 69, 67, 72]"
15,"[71, 69, 69, 67, 72]"
16,"[72, 72, 71, 69, 69]"
17,"[72, 71, 71, 69, 69]"
18,"[69, 72, 72, 71, 69]"
19,"[67, 67, 67, 69, 67, 71]"
20,"[72, 71, 69, 69]"
21,"[65, 69, 69, 71, 67, 67]"
22,"[72, 71, 69, 69, 71]"
23,"[71, 69, 67, 69, 67]"
24,"[69, 69, 67, 69, 69]"
25,"[72, 71, 69, 69, 71]"
26,"[65, 69, 69, 69, 69]"
27,"[69, 69, 69, 71, 67]"
28,"[69, 67, 67, 67]"
29,"[67, 65, 65, 67, 65]"
30,"[67, 67, 65, 67]"
31,"[67, 65, 65, 65]"
32,"[65, 65, 67, 67]"
33,"[67, 67, 67, 67, 67]"
34,"[69, 69, 67, 65]"
35,"[69, 69, 71, 67, 67, 69]"
36,"[69, 69, 67, 65, 65, 67]"
37,"[67, 65, 65, 67]"
38,"[67, 65, 65, 67, 67]"
39,"[67, 67, 65, 65]"
40,"[65, 67, 67, 69, 69]"
41,"[69, 65, 65, 69, 67]"
42,"[69, 69, 69, 71]"
43,"[67, 65, 65, 65]"
44,"[72, 71, 71, 69, 67, 65]"
45,"[72, 71, 69, 67]"
46,"[72, 71, 72, 69]"
47,"[71, 69, 69, 69, 67]"
48,"[71, 69, 67, 65, 69, 71]"
49,"[72, 71, 71, 69, 69]"
50,"[72, 71, 69, 69]"
51,"[69, 69, 69, 67]"
52,"[69, 71, 69, 71]"
53,"[71, 69, 69, 71]"
54,"[69, 65, 65, 65]"
55,"[67, 65, 65, 71]"
56,"[71, 69, 72, 71, 72, 65]"
57,"[72, 65, 72, 65]"
58,"[72, 71, 69, 67]"
59,"[69, 72, 72, 71, 67, 65]"
60,"[65, 65, 67, 65, 65, 67]"
61,"[65, 65, 67, 72, 72]"
62,"[65, 67, 71, 72, 72]"
63,"[65, 65, 65, 72]"
64,"[72, 71, 69, 67, 65]"
65,"[72, 72, 72, 72]"
66,"[72, 72, 71, 72]"
67,"[72, 71, 71, 71]"
68,"[71, 72, 71, 72]"
69,"[72, 71, 71, 72]"
70,"[72, 72, 71, 71]"
71,"[72, 71, 69, 69]"
72,"[71, 69, 72, 72]"
73,"[72, 72, 71, 71, 69, 72]"
74,"[71, 72, 69, 67, 67, 69, 69, 71, 69]"
75,"[69, 71, 69, 72]"
76,"[72, 71, 72, 69, 69, 67, 71]"
77,"[72, 71, 69, 69, 71]"
78,"[71, 69, 67, 69, 71]"
79,"[69, 67, 67, 69]"
80,"[72, 72, 71, 67, 67]"
81,"[72, 71, 69, 71, 67, 67]"
82,"[69, 69, 71, 72, 67, 69]"
83,"[72, 69, 71, 69]"
84,"[69, 71, 72, 69]"
85,"[69, 69, 69, 67, 67]"
86,"[67, 69, 69, 69]"
87,"[69, 71, 67, 69, 67]"
88,"[69, 69, 67, 69]"
89,"[69, 67, 69, 69]"
90,"[67, 67, 67, 67]"
91,"[69, 69, 69, 67]"
92,"[67, 69, 69, 69]"
93,"[67, 65, 67, 65]"
94,"[67, 65, 67, 67]"
95,"[67, 65, 65, 65]"
96,"[65, 65, 67, 67]"
97,"[67, 67, 67, 67]"
98,"[69, 69, 67, 65]"
99,"[69, 69, 71, 67]"
100,"[69, 71, 67, 65, 67]"
101,"[69, 67, 65, 65, 67]"
102,"[67, 65, 65, 67, 67]"
103,"[67, 65, 65, 67]"
